0.023310771999604	'SR2133'	'SR2133'
0.023389860999941	'SR2106'	'SR2106'
0.034287957999823	'SR2104'	'SR2104'
0.45198232499979	'SR2135'	'SR2135'
0.90492076800001	'SR2104'	'SR2104'
1.32340836	'SR2136'	'SR2136'
1.9037376849997	'SR2110'	'SR2110'
1.903824041	'SR2104'	'SR2104'
2.3329741749999	'SR2136'	'SR2136'
3.0178781119998	'SR2105'	'SR2105'
3.4589728619999	'SR2135'	'SR2135'
4.0279536059998	'SR2104'	'SR2104'
4.457565914	'SR2136'	'SR2136'
5.0266346409999	'SR2104'	'SR2104'
5.45619248	'SR2135'	'SR2135'
6.0249053829998	'SR2104'	'SR2104'
6.4544027339998	'SR2135'	'SR2135'
7.0233212449998	'SR2104'	'SR2104'
7.4528954889997	'SR2136'	'SR2136'
8.0111464459997	'SR2104'	'SR2104'
8.4296236999999	'SR2136'	'SR2136'
9.0318336989999	'SR2104'	'SR2104'
9.449769762	'SR2136'	'SR2136'
10.065278484	'SR2104'	'SR2104'
10.483319812	'SR2135'	'SR2135'
11.075185641	'SR2104'	'SR2104'
11.505233113	'SR2125'	'SR2125'
11.50532368	'SR2135'	'SR2135'
12.154882391	'SR2104'	'SR2104'
12.572858423	'SR2136'	'SR2136'
13.072125457	'SR2104'	'SR2104'
13.502061619	'SR2136'	'SR2136'
14.070627062	'SR2104'	'SR2104'
14.500198431	'SR2136'	'SR2136'
15.104285644	'SR2104'	'SR2104'
15.522298265	'SR2136'	'SR2136'
16.090804303	'SR2104'	'SR2104'
16.521178766	'SR2136'	'SR2136'
17.101671075	'SR2104'	'SR2104'
17.53078221	'SR2122'	'SR2122'
17.530873843	'SR2135'	'SR2135'
18.15724883	'SR2104'	'SR2104'
18.57548058	'SR2135'	'SR2135'
19.121736354	'SR2128'	'SR2128'
19.121832372	'SR2104'	'SR2104'
19.5510301	'SR2135'	'SR2135'
20.156383416	'SR2104'	'SR2104'
20.573712585	'SR2134'	'SR2134'
20.573812257	'SR2136'	'SR2136'
21.164199729	'SR2104'	'SR2104'
21.593831337	'SR2136'	'SR2136'
22.140719672	'SR2124'	'SR2124'
22.140787954	'SR2104'	'SR2104'
22.557981664	'SR2135'	'SR2135'
23.150088545	'SR2104'	'SR2104'
23.579772729	'SR2135'	'SR2135'
