0.0061897819996375	'SR287'	'SR287'
0.13881036899875	'SR288'	'SR288'
0.15173368199976	'SR289'	'SR289'
0.15182453599846	'SR290'	'SR290'
0.16333554599987	'SR291'	'SR291'
0.16342452699973	'SR292'	'SR292'
0.17381031299919	'SR293'	'SR293'
0.18670729199948	'SR294'	'SR294'
0.18678972999987	'SR295'	'SR295'
0.19731340999897	'SR296'	'SR296'
0.19738179399974	'SR297'	'SR297'
0.20904819599855	'SR298'	'SR298'
0.20913738899981	'SR299'	'SR299'
0.22029628599921	'SR2100'	'SR2100'
0.23237976899873	'SR2101'	'SR2101'
0.23246315199867	'SR2102'	'SR2102'
0.24478587699923	'SR2103'	'SR2103'
0.24486058999901	'SR2104'	'SR2104'
0.2553673679995	'SR2105'	'SR2105'
0.25545171999875	'SR2106'	'SR2106'
0.26731722799923	'SR2107'	'SR2107'
0.27944805599873	'SR2108'	'SR2108'
0.27952900699893	'SR2109'	'SR2109'
0.29011049699875	'SR2110'	'SR2110'
0.29018867099876	'SR2111'	'SR2111'
0.30252437699892	'SR2112'	'SR2112'
0.30263167299927	'SR2113'	'SR2113'
0.31376655299937	'SR2114'	'SR2114'
0.32523832699917	'SR2115'	'SR2115'
0.32533465799861	'SR2116'	'SR2116'
0.33790005299852	'SR2117'	'SR2117'
0.33798995699908	'SR2118'	'SR2118'
0.34835492699858	'SR2119'	'SR2119'
0.34897782299959	'SR2120'	'SR2120'
0.35976340699926	'SR2121'	'SR2121'
0.3722005089985	'SR2122'	'SR2122'
0.37226559699957	'SR2123'	'SR2123'
0.38321518399971	'SR2124'	'SR2124'
0.38329578399862	'SR2125'	'SR2125'
0.39561636899998	'SR2126'	'SR2126'
0.39571759299906	'SR2127'	'SR2127'
0.40519651999966	'SR294'	'SR294'
0.59101874499902	'SR2127'	'SR2127'
0.87062869799956	'SR2106'	'SR2106'
0.87070846499955	'SR296'	'SR296'
1.067228377	'SR2128'	'SR2128'
1.34610995	'SR2105'	'SR2105'
1.3461881849998	'SR298'	'SR298'
1.5207521189986	'SR299'	'SR299'
1.5321932239985	'SR2100'	'SR2100'
1.5444278299983	'SR2101'	'SR2101'
1.5445452999993	'SR2102'	'SR2102'
1.5559098729991	'SR2103'	'SR2103'
1.5673184429997	'SR2104'	'SR2104'
1.5787445819988	'SR2105'	'SR2105'
1.5911185289988	'SR2106'	'SR2106'
1.5911980749988	'SR2107'	'SR2107'
1.6019498809983	'SR2108'	'SR2108'
1.6135233309997	'SR2109'	'SR2109'
1.6258496349983	'SR2110'	'SR2110'
1.6259367209987	'SR2111'	'SR2111'
1.6371550489985	'SR2112'	'SR2112'
1.6481807339987	'SR2113'	'SR2113'
1.6606141599987	'SR2114'	'SR2114'
1.6606994949998	'SR2115'	'SR2115'
1.6713406609997	'SR2116'	'SR2116'
1.6831873719984	'SR2117'	'SR2117'
1.6946568219992	'SR2118'	'SR2118'
1.7072093309998	'SR2119'	'SR2119'
1.7073265829986	'SR2120'	'SR2120'
1.7184771249995	'SR2121'	'SR2121'
1.7294712999992	'SR2122'	'SR2122'
1.7415993759987	'SR2123'	'SR2123'
1.7417379139988	'SR2124'	'SR2124'
1.7537605009984	'SR2125'	'SR2125'
1.7644449969994	'SR2126'	'SR2126'
1.7768368369998	'SR2127'	'SR2127'
1.7769424599992	'SR2100'	'SR2100'
1.9737474389985	'SR2127'	'SR2127'
2.2869761479997	'SR298'	'SR298'
2.4607317689988	'SR299'	'SR299'
2.4733639890001	'SR2100'	'SR2100'
2.4734460539985	'SR2101'	'SR2101'
2.5166468479983	'SR2102'	'SR2102'
2.5167238539998	'SR2103'	'SR2103'
2.5167897559986	'SR2104'	'SR2104'
2.5192701969991	'SR2105'	'SR2105'
2.5193460579994	'SR2106'	'SR2106'
2.5425781049998	'SR2107'	'SR2107'
2.5426578429997	'SR2108'	'SR2108'
2.558362537	'SR2109'	'SR2109'
2.5585048009998	'SR2110'	'SR2110'
2.5653711029991	'SR2111'	'SR2111'
2.5771015759983	'SR2112'	'SR2112'
2.590067191999	'SR2113'	'SR2113'
2.5901689499988	'SR2114'	'SR2114'
2.6001431209988	'SR2115'	'SR2115'
2.6120630869991	'SR2116'	'SR2116'
2.6243252629993	'SR2117'	'SR2117'
2.6360664269996	'SR2118'	'SR2118'
2.6361724639992	'SR2119'	'SR2119'
2.646543367	'SR2120'	'SR2120'
2.6591707389998	'SR2121'	'SR2121'
2.6705111589999	'SR2122'	'SR2122'
2.6706606279986	'SR2123'	'SR2123'
2.6816423089986	'SR2124'	'SR2124'
2.6933136339994	'SR2125'	'SR2125'
2.7062849409995	'SR2126'	'SR2126'
2.7064014509997	'SR2127'	'SR2127'
2.7158849019997	'SR2100'	'SR2100'
