0.057169192000401	'SR2133'	'SR2133'
0.060676089000481	'SR2106'	'SR2106'
0.060757002000173	'SR2104'	'SR2104'
0.47571192600026	'SR2135'	'SR2135'
0.92923592400075	'SR2104'	'SR2104'
1.3460867620006	'SR2136'	'SR2136'
1.9293637250003	'SR2110'	'SR2110'
1.9294697520008	'SR2104'	'SR2104'
2.3801403290008	'SR2136'	'SR2136'
3.0423322040006	'SR2105'	'SR2105'
3.4827314570002	'SR2135'	'SR2135'
4.0518313440007	'SR2104'	'SR2104'
4.4811795160003	'SR2136'	'SR2136'
5.0502771040001	'SR2104'	'SR2104'
5.4793137200004	'SR2135'	'SR2135'
6.048811351	'SR2104'	'SR2104'
6.4777244790002	'SR2135'	'SR2135'
7.0471327120003	'SR2104'	'SR2104'
7.4768831910005	'SR2136'	'SR2136'
8.0354528440002	'SR2104'	'SR2104'
8.4542666490006	'SR2136'	'SR2136'
9.0555076250002	'SR2104'	'SR2104'
9.5377503380005	'SR2136'	'SR2136'
10.088887313001	'SR2104'	'SR2104'
10.507564539001	'SR2135'	'SR2135'
11.099628982	'SR2104'	'SR2104'
11.529177553	'SR2125'	'SR2125'
11.529252589001	'SR2135'	'SR2135'
12.178415919	'SR2104'	'SR2104'
12.598494858001	'SR2136'	'SR2136'
13.095911999	'SR2104'	'SR2104'
13.525289518	'SR2136'	'SR2136'
14.093827211001	'SR2104'	'SR2104'
14.524382159	'SR2136'	'SR2136'
15.127544442001	'SR2104'	'SR2104'
15.545915906	'SR2136'	'SR2136'
16.113958402	'SR2104'	'SR2104'
16.543742748	'SR2136'	'SR2136'
17.124776244001	'SR2104'	'SR2104'
17.556759584	'SR2123'	'SR2123'
17.556850889	'SR2135'	'SR2135'
18.180669635	'SR2104'	'SR2104'
18.599705374	'SR2135'	'SR2135'
19.144668880001	'SR2128'	'SR2128'
19.144755413	'SR2104'	'SR2104'
19.573952109001	'SR2135'	'SR2135'
20.178191135001	'SR2104'	'SR2104'
20.596662494	'SR2134'	'SR2134'
20.596775795	'SR2136'	'SR2136'
21.188197667	'SR2104'	'SR2104'
21.617165688001	'SR2136'	'SR2136'
22.163096317	'SR2124'	'SR2124'
22.163179562001	'SR2104'	'SR2104'
22.581027664	'SR2135'	'SR2135'
23.173747585	'SR2104'	'SR2104'
23.603180233001	'SR2135'	'SR2135'
